BufferA.Adc1Ch0[0], 0x7F00,7F00,7F0,7F,01111111,0,0000,0111111100,0,111111100,508,0.9921875,0.9921875,,Resolucion,0.001953125,
BufferA.Adc1Ch0[1], 0x7540,7540,754,75,01110101,4,0100,0111010101,0,111010101,469,0.916015625,0.916015625,,,,
BufferA.Adc1Ch0[2], 0x6040,6040,604,60,01100000,4,0100,0110000001,0,110000001,385,0.751953125,0.751953125,,,,
BufferA.Adc1Ch0[3], 0x4180,4180,418,41,01000001,8,1000,0100000110,0,100000110,262,0.51171875,0.51171875,,,,
BufferA.Adc1Ch0[4], 0x1C40,1C40,1C4,1C,00011100,4,0100,0001110001,0,001110001,113,0.220703125,0.220703125,,,,
BufferA.Adc1Ch0[5], 0xF480,F480,F48,F4,11110100,8,1000,1111010010,1,111010010,466,0.91015625,-0.08984375,,,,
BufferA.Adc1Ch0[6], 0xCDC0,CDC0,CDC,CD,11001101,C,1100,1100110111,1,100110111,311,0.607421875,-0.392578125,,,,
BufferA.Adc1Ch0[7], 0xABC0,ABC0,ABC,AB,10101011,C,1100,1010101111,1,010101111,175,0.341796875,-0.658203125,,,,
BufferA.Adc1Ch0[8], 0x9240,9240,924,92,10010010,4,0100,1001001001,1,001001001,73,0.142578125,-0.857421875,,,,
BufferA.Adc1Ch0[9], 0x8340,8340,834,83,10000011,4,0100,1000001101,1,000001101,13,0.025390625,-0.974609375,,,,
BufferA.Adc1Ch0[10], 0x8080,8080,808,80,10000000,8,1000,1000000010,1,000000010,2,0.00390625,-0.99609375,,,,
BufferA.Adc1Ch0[11], 0x8A40,8A40,8A4,8A,10001010,4,0100,1000101001,1,000101001,41,0.080078125,-0.919921875,,,,
BufferA.Adc1Ch0[12], 0x9F80,9F80,9F8,9F,10011111,8,1000,1001111110,1,001111110,126,0.24609375,-0.75390625,,,,
BufferA.Adc1Ch0[13], 0xBE40,BE40,BE4,BE,10111110,4,0100,1011111001,1,011111001,249,0.486328125,-0.513671875,,,,
BufferA.Adc1Ch0[14], 0xE380,E380,E38,E3,11100011,8,1000,1110001110,1,110001110,398,0.77734375,-0.22265625,,,,
BufferA.Adc1Ch0[15], 0x0B40,0B40,0B4,0B,00001011,4,0100,0000101101,0,000101101,45,0.087890625,0.087890625,,,,
BufferA.Adc1Ch0[16], 0x3200,3200,320,32,00110010,0,0000,0011001000,0,011001000,200,0.390625,0.390625,,,,
BufferA.Adc1Ch0[17], 0x5400,5400,540,54,01010100,0,0000,0101010000,0,101010000,336,0.65625,0.65625,,,,
BufferA.Adc1Ch0[18], 0x6D80,6D80,6D8,6D,01101101,8,1000,0110110110,0,110110110,438,0.85546875,0.85546875,,,,
